id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
10646.0,,Pachtgoedstraat,4.0,9140,Temse,Oost-Vlaanderen,,y,,,51.12145,4.202525,51.14678635,4.1870345765471315
10647.0,,Avenue Sergent Vrithoff,2.0,5000,Namur,Namur,,y,,,50.46775,4.8896,50.4664275,4.845061
10648.0,,Nekkerspoel-Borght,9999.0,2800,Mechelen,Antwerpen,,y,,,51.046400000000006,4.468,51.0282738,4.4939609308601085
10649.0,,Place de L Accueil,10.0,1348,Louvain-la-Neuve,Brabant Wallon,,y,,,50.6683,4.6144,50.6683,4.6144
10650.0,,Rue de la  Chaudronnerie,6.0,4340,Awans,Liège,,y,,,50.690875000000005,5.451575,50.690875000000005,5.451575
10651.0,,Lilsedijk,50.0,2340,Beerse,Antwerpen,,y,,,51.30725,4.81715,51.2985261,4.8384743
10652.0,,EKKELGARDENSTRAAT,4.0,3500,Hasselt,Limburg,,y,,,50.915099999999995,5.32285,50.915099999999995,5.32285
10653.0,,Bremheidelaan ,1.0,2300,Turnhout,Antwerpen,,y,,,51.3225,4.9447,51.2929624,4.9197573
10654.0,,Gelukkige Grijsheidstraat ,1.0,1080,Brussel,Bruxelles-Brussel,,y,,,50.8499,4.3125,50.8548959,4.2952573
10655.0,,Volkslaan,300.0,8930,Menen,West-Vlaanderen,,y,,,50.7919,3.1576,50.7919,3.1576
10656.0,,Rue des Chataigniers,34.0,4680,Oupeye,Liège,,y,,,50.7103,5.63255,50.7103,5.63255
10657.0,,Village,121.0,4650,Herve,Liège,,y,,,50.641425,5.8026,50.641425,5.8026
10658.0,,Rue du Brief,67.0,4652,Herve,Liège,,y,,,50.6049,5.778,50.6049,5.778
10659.0,,Ambachtsstraat,19.0,3980,Tessenderlo,Limburg,,y,,,51.0651,5.0886,51.0651,5.0886
10660.0,,Spieveldstraat,51.0,9160,Lokeren,Oost-Vlaanderen,,y,,,51.12606666666667,3.9813,51.1864302,4.1329366
